CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,,,,SSTR4,2D11
,,,,,,,,,SSTR4,3A5
,,,,,,,,,SSTR4,3B11
,,,,,,,,,SSTR4,1E2
,,,,,,,,,SSTR4,1F8
,,,,,,,,,SSTR4,2C2
,,,,,,,,,SSTR4,3B8
,,,,,,,,,SSTR4,3A10
,,,,,,,,,SSTR4,1E5
,,,,,,,,,SSTR4,1E11
,,,,,,,,,SSTR4,1F11
,,,,,,,,,SSTR4,2C5
,,,,,,,,,SSTR4,3A11
,,,,,,,,,SSTR4,2B2
,,,,,,,,,SSTR4,2D8
,,,,,,,,,SSTR4,2F8
,,,,,,,,,SSTR4,1E8
,,,,,,,,,SSTR4,3A8
,,,,,,,,,SSTR4,2C8
,,,,,,,,,SSTR5,1A4
,,,,,,,,,SSTR5,1D6
,,,,,,,,,SSTR5,1A10
,,,,,,,,,SSTR5,2B4
,,,,,,,,,SSTR5,2H4
,,,,,,,,,SSTR5,1A6
,,,,,,,,,SSTR5,1D4
,,,,,,,,,SSTR5,1A12
,,,,,,,,,SSTR5,1D12
,,,,,,,,,SSTR5,2B6
,,,,,,,,,SSTR5,2B12
,,,,,,,,,SSTR5,2H6
,,,,,,,,,SSTR5,2H12
,,,,,,,,,SSTR5,1D10
,,,,,,,,,SSTR5,2B10
,,,,,,,,,SSTR5,2H10
,,,,,,,,,TAS2R20,4D8
,,,,,,,,,TAS2R20,5H8
,,,,,,,,,TAS2R20,4D9
,,,,,,,,,TAS2R20,5H9
,,,,,,,,,TAS2R20,4D10
,,,,,,,,,TAS2R20,5H10
,,,,,,,,,TAS2R43,7E4
,,,,,,,,,TAS2R43,7B6
,,,,,,,,,TAS2R43,7B12
,,,,,,,,,TAS2R43,7D12
,,,,,,,,,TAS2R43,7E6
,,,,,,,,,TAS2R43,7D6
,,,,,,,,,TAS2R43,7B4
,,,,,,,,,TAS2R43,7D10
,,,,,,,,,TAS2R43,7G10
,,,,,,,,,TAS2R43,7E12
,,,,,,,,,TAS2R43,7G6
,,,,,,,,,TAS2R43,7G12
,,,,,,,,,TAS2R43,7D4
,,,,,,,,,TAS2R43,7G4
,,,,,,,,,TAS2R43,7B10
,,,,,,,,,TAS2R43,7E10
,,,,,,,,,TAS2R46,1B9
,,,,,,,,,TAS2R46,1C3
,,,,,,,,,TBXA2R,1E7
,,,,,,,,,TBXA2R,1F7
,,,,,,,,,TBXA2R,1H7
,,,,,,,,,TBXA2R,2A7
,,,,,,,,,TSHR,1G3
,,,,,,,,,TSHR,1A3
,,,,,,,,,TSHR,1A9
,,,,,,,,,TSHR,1B3
,,,,,,,,,TSHR,1B9
,,,,,,,,,TSHR,1D3
,,,,,,,,,TSHR,2B3
,,,,,,,,,TSHR,1G8
,,,,,,,,,TSHR,1H2
,,,,,,,,,TSHR,1D9
,,,,,,,,,TSHR,1G9
,,,,,,,,,TSHR,1H3
,,,,,,,,,TSHR,1H9
,,,,,,,,,TSHR,2B9
,,,,,,,,,TSHR,2C3
,,,,,,,,,TSHR,2C9
,,,,,,,,,TSHR,2D3
,,,,,,,,,TSHR,2H3
,,,,,,,,,TSHR,2H9
,,,,,,,,,TSHR,3A3
,,,,,,,,,TSHR,3B3
,,,,,,,,,TSHR,1B4
,,,,,,,,,TSHR,2B4
,,,,,,,,,TSHR,2H4
,,,,,,,,,TSHR,1A2
,,,,,,,,,TSHR,1B2
,,,,,,,,,TSHR,1D2
,,,,,,,,,TSHR,1D8
,,,,,,,,,TSHR,1G2
,,,,,,,,,TSHR,2B8
,,,,,,,,,TSHR,2H8
,,,,,,,,,TSHR,1C3
,,,,,,,,,TSHR,1E3
,,,,,,,,,TSHR,2A3
,,,,,,,,,TSHR,1A4
,,,,,,,,,TSHR,1A10
,,,,,,,,,TSHR,1G4
,,,,,,,,,TSHR,1H4
,,,,,,,,,TSHR,2B10
,,,,,,,,,TSHR,2C4
,,,,,,,,,TSHR,2H10
,,,,,,,,,TSHR,3A4
,,,,,,,,,TSHR,1H8
,,,,,,,,,TSHR,2H2
,,,,,,,,,TSHR,3A2
,,,,,,,,,TSHR,1E9
,,,,,,,,,TSHR,1F3
,,,,,,,,,TSHR,3A9
,,,,,,,,,TSHR,1B10
,,,,,,,,,TSHR,1D4
,,,,,,,,,TSHR,1D10
,,,,,,,,,TSHR,1E4
,,,,,,,,,TSHR,1E10
,,,,,,,,,TSHR,1F4
,,,,,,,,,TSHR,1G10
,,,,,,,,,TSHR,1H10
,,,,,,,,,TSHR,2A4
,,,,,,,,,TSHR,2C10
,,,,,,,,,TSHR,2D4
,,,,,,,,,TSHR,3B4
,,,,,,,,,TSHR,1A8
,,,,,,,,,TSHR,1E2
,,,,,,,,,TSHR,1F2
,,,,,,,,,TSHR,2A2
,,,,,,,,,TSHR,2C2
,,,,,,,,,TSHR,3B2
,,,,,,,,,TSHR,1C4
,,,,,,,,,TSHR,3A10
,,,,,,,,,TSHR,2B2
,,,,,,,,,TSHR,1B8
,,,,,,,,,TSHR,1C2
,,,,,,,,,TSHR,1E8
,,,,,,,,,TSHR,3A8
,,,,,,,,,TSHR,2D2
,,,,,,,,,TSHR,2C8
