CRISPRa-,,,CRISPRa+,,,CRISPRi-,,,CRISPRi+,
,,,,,,GPR132,1G8,,GPR52,1B5
,,,,,,GPR132,1H8,,GPR52,1C11
,,,,,,GPR132,2A2,,GPR52,1D11
,,,,,,GPR132,2B2,,GPR52,1F5
,,,,,,GPR132,2B8,,GPR52,2A5
,,,,,,GPR132,2C8,,GPR52,2C5
,,,,,,GPR132,2D2,,GPR52,2D11
,,,,,,GPR132,2E2,,GPR52,1A12
,,,,,,GPR132,2E8,,GPR52,1B6
,,,,,,GPR132,2F8,,GPR52,1G12
,,,,,,GPR132,2G2,,GPR52,1H6
,,,,,,GPR132,1A5,,GPR52,2A12
,,,,,,GPR132,1A11,,GPR52,2C6
,,,,,,GPR132,1E11,,GPR52,2D6
,,,,,,GPR132,1F5,,GPR52,2D12
,,,,,,GPR132,1G5,,GPR52,2D7
,,,,,,GPR132,1G11,,GPR52,1C8
,,,,,,GPR132,1H11,,GPR52,1E2
,,,,,,GPR132,2A5,,GPR52,1F2
,,,,,,GPR132,2B5,,GPR52,1F8
,,,,,,GPR132,2B11,,GPR52,1C10
,,,,,,GPR132,2C11,,GPR52,1D10
,,,,,,GPR132,2D5,,GPR52,1G10
,,,,,,GPR132,2E5,,GPR52,2A10
,,,,,,GPR132,2E11,,GPR52,1C5
,,,,,,GPR132,2F11,,GPR52,1E5
,,,,,,GPR132,2G5,,GPR52,1F11
,,,,,,GPR132,3A11,,GPR52,1C6
,,,,,,GPR132,3B5,,GPR52,1C12
,,,,,,GPR132,1A6,,GPR52,1D12
,,,,,,GPR132,1A12,,GPR52,1F6
,,,,,,GPR132,1B12,,GPR52,2A6
,,,,,,GPR132,1C6,,GPR52,1D7
,,,,,,GPR132,1G6,,GPR52,1E1
,,,,,,GPR132,1G12,,GPR52,1F1
,,,,,,GPR132,1H12,,GPR52,1G7
,,,,,,GPR132,2A6,,GPR52,1E6
,,,,,,GPR132,2B6,,GPR52,1F12
,,,,,,GPR132,2B12,,GPR52,1C1
,,,,,,GPR132,2C12,,GPR52,1C7
,,,,,,GPR132,2D6,,GPR52,1F7
,,,,,,GPR132,2E6,,GPR52,2A1
,,,,,,GPR132,2E12,,GPR52,2A7
,,,,,,GPR132,2F12,,GPRC5A,1G1
,,,,,,GPR132,2G6,,GPRC5D,1G11
,,,,,,GPR132,1B7,,GPRC5D,1G5
,,,,,,GPR132,1C1,,GPRC5D,2A11
,,,,,,GPR132,1B11,,GPRC5D,2B11
,,,,,,GPR132,1C5,,GPRC5D,1G6
,,,,,,GPR20,1A1,,GPRC5D,2D12
,,,,,,GPR20,1A7,,GPRC5D,1D11
,,,,,,GPR20,1C7,,GPRC5D,2E5
,,,,,,GPR20,1G1,,GPRC5D,2E11
,,,,,,GPR20,1G7,,GPRC5D,1D6
,,,,,,GPR20,1H7,,GPRC5D,1D5
,,,,,,GPR20,2A1,,GPRC5D,1F11
,,,,,,GPR20,2A7,,GPRC5D,2B5
,,,,,,GPR20,2B1,,GPRC5D,2D11
,,,,,,GPR20,2B7,,GPRC5D,1F12
,,,,,,GPR20,2C7,,GPRC5D,2A12
,,,,,,GPR20,2D1,,GPRC5D,2E6
,,,,,,GPR20,2D7,,GPRC5D,2E12
,,,,,,GPR20,2E1,,GPRC5D,2G11
,,,,,,GPR20,2E7,,GPRC5D,1D12
,,,,,,GPR20,2F7,,GPRC5D,1G12
,,,,,,GPR20,2G1,,GPRC5D,2B6
,,,,,,GPR20,2G7,,GPRC5D,2B12
,,,,,,GPR20,1A2,,GPRC5D,2G12
,,,,,,GPR20,1A8,,GRM3,2E3
,,,,,,GPR20,1B8,,GRM3,2F9
,,,,,,GPR20,1C2,,GRM3,2G9
,,,,,,GPR20,1C8,,GRM3,2H3
,,,,,,GPR20,1G2,,GRM3,3A9
,,,,,,GPR20,1G8,,GRM3,3B9
,,,,,,GPR20,1H8,,GRM3,2E1
,,,,,,GPR20,2A2,,GRM3,2H1
,,,,,,GPR20,2A8,,GRM3,2E6
,,,,,,GPR20,2B2,,GRM3,2H6
,,,,,,GPR20,2B8,,GRM3,2F7
,,,,,,GPR20,2C8,,GRM3,2G7
,,,,,,GPR20,2D2,,GRM3,3A7
,,,,,,GPR20,2D8,,GRM3,3B7
,,,,,,GPR20,2E2,,GRM3,2F12
,,,,,,GPR20,2E8,,GRM3,2G12
,,,,,,GPR20,2F8,,GRM3,3A12
,,,,,,GPR20,2G2,,GRM3,3B12
,,,,,,GPR20,2G8,,GRM6,6A9
,,,,,,GPR20,1A3,,GRM6,7B3
,,,,,,GPR20,1A9,,GRM6,7B4
,,,,,,GPR20,1B9,,GRM6,6A11
,,,,,,GPR20,1C3,,GRM6,6D11
,,,,,,GPR20,1C9,,GRM6,6G5
,,,,,,GPR20,1G3,,GRM6,7B5
,,,,,,GPR20,1G9,,GRM6,7B11
,,,,,,GPR20,1H9,,GRM6,6A3
,,,,,,GPR20,2A3,,GRM6,6G3
,,,,,,GPR20,2A9,,GRM6,7B9
,,,,,,GPR20,2B3,,GRM6,6D4
,,,,,,GPR20,2B9,,GRM6,6G4
,,,,,,GPR20,2C9,,GRM6,7B10
,,,,,,GPR20,2D3,,GRM6,6A5
,,,,,,GPR20,2D9,,GRM6,6D5
,,,,,,GPR20,2E3,,GRM6,6G11
,,,,,,GPR20,2E9,,GRM6,6D3
,,,,,,GPR20,2F9,,GRM6,6G9
,,,,,,GPR20,2G3,,GRM6,6A4
,,,,,,GPR20,2G9,,GRM6,6A10
,,,,,,GPR20,1A5,,GRM6,6G10
,,,,,,GPR20,1A11,,GRM6,6D9
,,,,,,GPR20,1C11,,GRM6,6D10
,,,,,,GPR20,1G5,,GRM7,2F3
,,,,,,GPR20,1G11,,GRM7,2E3
,,,,,,GPR20,1H11,,GRM7,3B3
,,,,,,GPR20,2A5,,GRM7,1A5
,,,,,,GPR20,2A11,,GRM7,2E5
,,,,,,GPR20,2B5,,GRM7,3B5
,,,,,,GPR20,2B11,,GRM7,1A3
,,,,,,GPR20,2C11,,GRM7,1C9
,,,,,,GPR20,2D5,,GRM7,2B3
,,,,,,GPR20,2D11,,GRM7,2D3
,,,,,,GPR20,2E5,,GRM7,2D9
,,,,,,GPR20,2E11,,GRM7,2G3
,,,,,,GPR20,2F11,,GRM7,2G9
,,,,,,GPR20,2G5,,GRM7,2H3
,,,,,,GPR20,2G11,,GRM7,3B9
,,,,,,GPR20,1A6,,GRM7,1B5
,,,,,,GPR20,1A12,,GRM7,1C11
,,,,,,GPR20,1B12,,GRM7,2B5
,,,,,,GPR20,1C6,,GRM7,2D5
,,,,,,GPR20,1C12,,GRM7,2D11
,,,,,,GPR20,1G6,,GRM7,2F5
